  Date       Dividend   Company Ticker
  Date: 2021-11-29, Dividend: 0.7, Company Ticker: DOW,
  Date: 2021-05-13, Dividend: 0.34, Company Ticker: DVN,
  Date: 2021-05-13, Dividend: 0.69, Company Ticker: ENB,
  Date: 2021-05-12, Dividend: 0.87, Company Ticker: XOM,
  Date: 2021-05-10, Dividend: 0.15, Company Ticker: ET,
  Date: 2021-05-07, Dividend: 1.64, Company Ticker: IBM,
  Date: 2021-05-06, Dividend: 0.32, Company Ticker: BP,
  Date: 2021-05-06, Dividend: 0.35, Company Ticker: INTC,
  Date: 2021-05-06, Dividend: 0.39, Company Ticker: PFE,
  Date: 2021-04-30, Dividend: 0.82, Company Ticker: BX,
  Date: 2021-04-30, Dividend: 0.51, Company Ticker: C,
  Date: 2021-04-30, Dividend: 0.24, Company Ticker: O,
  Date: 2021-04-30, Dividend: 0.67, Company Ticker: OHI,
  Date: 2021-04-29, Dividend: 0.12, Company Ticker: AGNC,
  Date: 2021-04-29, Dividend: 0.45, Company Ticker: EPD,
  Date: 2021-04-29, Dividend: 0.27, Company Ticker: KMI,
  Date: 2021-04-29, Dividend: 0.35, Company Ticker: MS,
  Date: 2021-04-29, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2021-04-23, Dividend: 0.94, Company Ticker: OKE,
  Date: 2021-04-15, Dividend: 0.29, Company Ticker: PBR,
  Date: 2021-04-14, Dividend: 1.3, Company Ticker: ABBV,
  Date: 2021-04-08, Dividend: 1.3, Company Ticker: SPG,
  Date: 2021-04-08, Dividend: 0.52, Company Ticker: T,
  Date: 2021-04-08, Dividend: 0.63, Company Ticker: VZ,
  Date: 2021-04-05, Dividend: 0.9, Company Ticker: JPM,
  Date: 2021-04-01, Dividend: 0.2, Company Ticker: NRZ,
  Date: 2021-03-31, Dividend: 0.24, Company Ticker: O,
  Date: 2021-03-30, Dividend: 0.12, Company Ticker: AGNC,
  Date: 2021-03-30, Dividend: 1.32, Company Ticker: IIPR,
  Date: 2021-03-30, Dividend: 0.22, Company Ticker: NLY,
  Date: 2021-03-30, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2021-03-24, Dividend: 0.86, Company Ticker: MO,
  Date: 2021-03-19, Dividend: 1.2, Company Ticker: PM,
  Date: 2021-03-12, Dividend: 0.3, Company Ticker: DVN,
  Date: 2021-03-12, Dividend: 0.71, Company Ticker: GILD,
  Date: 2021-03-12, Dividend: 0.65, Company Ticker: MRK,
  Date: 2021-03-11, Dividend: 0.4, Company Ticker: KHC,
  Date: 2021-03-05, Dividend: 0.25, Company Ticker: LUMN,
  Date: 2021-03-05, Dividend: 0.77, Company Ticker: VALE,
  Date: 2021-03-04, Dividend: 3.09, Company Ticker: RIO,
  Date: 2021-03-03, Dividend: 0.55, Company Ticker: NEM,
  Date: 2021-02-26, Dividend: 0.23, Company Ticker: O,
  Date: 2021-02-25, Dividend: 0.12, Company Ticker: AGNC,
  Date: 2021-02-25, Dividend: 0.7, Company Ticker: DOW,
  Date: 2021-02-25, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2021-02-19, Dividend: 1.02, Company Ticker: UPS,
  Date: 2021-02-18, Dividend: 0.32, Company Ticker: BP,
  Date: 2021-02-18, Dividend: 0.63, Company Ticker: GSK,
  Date: 2021-02-18, Dividend: 0.47, Company Ticker: WBA,
  Date: 2021-02-16, Dividend: 1.29, Company Ticker: CVX,
  Date: 2021-02-12, Dividend: 1.15, Company Ticker: PRU,
  Date: 2021-02-12, Dividend: 0.64, Company Ticker: SO,
  Date: 2021-02-11, Dividend: 1.76, Company Ticker: AMGN,
  Date: 2021-02-11, Dividend: 0.97, Company Ticker: DUK,
  Date: 2021-02-11, Dividend: 0.66, Company Ticker: ENB,
  Date: 2021-02-11, Dividend: 1.48, Company Ticker: MMM,
  Date: 2021-02-10, Dividend: 0.98, Company Ticker: VLO,
  Date: 2021-02-09, Dividend: 1.63, Company Ticker: IBM,
  Date: 2021-02-09, Dividend: 0.87, Company Ticker: XOM,
  Date: 2021-02-05, Dividend: 0.96, Company Ticker: BX,
  Date: 2021-02-05, Dividend: 0.15, Company Ticker: ET,
  Date: 2021-02-05, Dividend: 0.67, Company Ticker: OHI,
  Date: 2021-02-04, Dividend: 0.35, Company Ticker: INTC,
  Date: 2021-01-29, Dividend: 0.51, Company Ticker: C,
  Date: 2021-01-29, Dividend: 0.26, Company Ticker: KMI,
  Date: 2021-01-29, Dividend: 0.23, Company Ticker: O,
  Date: 2021-01-29, Dividend: 0.94, Company Ticker: OKE,
  Date: 2021-01-28, Dividend: 0.12, Company Ticker: AGNC,
  Date: 2021-01-28, Dividend: 0.45, Company Ticker: EPD,
  Date: 2021-01-28, Dividend: 0.35, Company Ticker: MS,
  Date: 2021-01-28, Dividend: 0.39, Company Ticker: PFE,
  Date: 2021-01-28, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2021-01-14, Dividend: 1.3, Company Ticker: ABBV,
  Date: 2021-01-08, Dividend: 0.52, Company Ticker: T,
  Date: 2021-01-07, Dividend: 0.63, Company Ticker: VZ,
  Date: 2021-01-05, Dividend: 0.9, Company Ticker: JPM,
  Date: 2020-12-31, Dividend: 0.23, Company Ticker: O,
  Date: 2020-12-30, Dividend: 0.12, Company Ticker: AGNC,
  Date: 2020-12-30, Dividend: 1.24, Company Ticker: IIPR,
  Date: 2020-12-30, Dividend: 0.22, Company Ticker: NLY,
  Date: 2020-12-30, Dividend: 0.2, Company Ticker: NRZ,
  Date: 2020-12-30, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2020-12-24, Dividend: 0.86, Company Ticker: MO,
  Date: 2020-12-23, Dividend: 1.3, Company Ticker: SPG,
  Date: 2020-12-22, Dividend: 1.2, Company Ticker: PM,
  Date: 2020-12-14, Dividend: 0.68, Company Ticker: GILD,
  Date: 2020-12-14, Dividend: 0.65, Company Ticker: MRK,
  Date: 2020-12-10, Dividend: 0.11, Company Ticker: DVN,
  Date: 2020-12-10, Dividend: 0.4, Company Ticker: NEM,
  Date: 2020-11-30, Dividend: 0.23, Company Ticker: O,
  Date: 2020-11-27, Dividend: 0.12, Company Ticker: AGNC,
  Date: 2020-11-27, Dividend: 0.7, Company Ticker: DOW,
  Date: 2020-11-27, Dividend: 0.25, Company Ticker: LUMN,
  Date: 2020-11-27, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2020-11-25, Dividend: 0.4, Company Ticker: KHC,
  Date: 2020-11-23, Dividend: 1.1, Company Ticker: PRU,
  Date: 2020-11-19, Dividend: 1.47, Company Ticker: MMM,
  Date: 2020-11-18, Dividend: 0.47, Company Ticker: WBA,
  Date: 2020-11-17, Dividend: 1.29, Company Ticker: CVX,
  Date: 2020-11-17, Dividend: 0.98, Company Ticker: VLO,
  Date: 2020-11-13, Dividend: 1.6, Company Ticker: AMGN,
  Date: 2020-11-13, Dividend: 0.64, Company Ticker: SO,
  Date: 2020-11-12, Dividend: 0.97, Company Ticker: DUK,
  Date: 2020-11-12, Dividend: 0.62, Company Ticker: ENB,
  Date: 2020-11-12, Dividend: 0.5, Company Ticker: GSK,
  Date: 2020-11-12, Dividend: 1.01, Company Ticker: UPS,
  Date: 2020-11-10, Dividend: 0.87, Company Ticker: XOM,
  Date: 2020-11-09, Dividend: 1.63, Company Ticker: IBM,
  Date: 2020-11-06, Dividend: 0.54, Company Ticker: BX,
  Date: 2020-11-05, Dividend: 0.32, Company Ticker: BP,
  Date: 2020-11-05, Dividend: 0.15, Company Ticker: ET,
  Date: 2020-11-05, Dividend: 0.33, Company Ticker: INTC,
  Date: 2020-11-05, Dividend: 0.38, Company Ticker: PFE,
  Date: 2020-10-30, Dividend: 0.51, Company Ticker: C,
  Date: 2020-10-30, Dividend: 0.26, Company Ticker: KMI,
  Date: 2020-10-30, Dividend: 0.23, Company Ticker: O,
  Date: 2020-10-30, Dividend: 0.67, Company Ticker: OHI,
  Date: 2020-10-30, Dividend: 0.94, Company Ticker: OKE,
  Date: 2020-10-29, Dividend: 0.12, Company Ticker: AGNC,
  Date: 2020-10-29, Dividend: 0.45, Company Ticker: EPD,
  Date: 2020-10-29, Dividend: 0.35, Company Ticker: MS,
  Date: 2020-10-29, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2020-10-14, Dividend: 1.18, Company Ticker: ABBV,
  Date: 2020-10-08, Dividend: 1.3, Company Ticker: SPG,
  Date: 2020-10-08, Dividend: 0.52, Company Ticker: T,
  Date: 2020-10-08, Dividend: 0.63, Company Ticker: VZ,
  Date: 2020-10-05, Dividend: 0.9, Company Ticker: JPM,
  Date: 2020-10-02, Dividend: 0.15, Company Ticker: NRZ,
  Date: 2020-09-30, Dividend: 0.23, Company Ticker: O,
  Date: 2020-09-29, Dividend: 0.12, Company Ticker: AGNC,
  Date: 2020-09-29, Dividend: 1.17, Company Ticker: IIPR,
  Date: 2020-09-29, Dividend: 0.22, Company Ticker: NLY,
  Date: 2020-09-29, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2020-09-23, Dividend: 1.2, Company Ticker: PM,
  Date: 2020-09-22, Dividend: 0.46, Company Ticker: VALE,
  Date: 2020-09-14, Dividend: 0.68, Company Ticker: GILD,
  Date: 2020-09-14, Dividend: 0.86, Company Ticker: MO,
  Date: 2020-09-14, Dividend: 0.61, Company Ticker: MRK,
  Date: 2020-09-11, Dividend: 0.11, Company Ticker: DVN,
  Date: 2020-09-09, Dividend: 0.25, Company Ticker: NEM,
  Date: 2020-08-31, Dividend: 0.23, Company Ticker: O,
  Date: 2020-08-28, Dividend: 0.12, Company Ticker: AGNC,
  Date: 2020-08-28, Dividend: 0.7, Company Ticker: DOW,
  Date: 2020-08-28, Dividend: 0.25, Company Ticker: LUMN,
  Date: 2020-08-28, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2020-08-27, Dividend: 0.4, Company Ticker: KHC,
  Date: 2020-08-24, Dividend: 1.1, Company Ticker: PRU,
  Date: 2020-08-21, Dividend: 1.47, Company Ticker: MMM,
  Date: 2020-08-21, Dividend: 1.01, Company Ticker: UPS,
  Date: 2020-08-18, Dividend: 1.29, Company Ticker: CVX,
  Date: 2020-08-18, Dividend: 0.47, Company Ticker: WBA,
  Date: 2020-08-14, Dividend: 1.6, Company Ticker: AMGN,
  Date: 2020-08-14, Dividend: 0.64, Company Ticker: SO,
  Date: 2020-08-13, Dividend: 0.32, Company Ticker: BP,
  Date: 2020-08-13, Dividend: 0.97, Company Ticker: DUK,
  Date: 2020-08-13, Dividend: 0.26, Company Ticker: DVN,
  Date: 2020-08-13, Dividend: 0.61, Company Ticker: ENB,
  Date: 2020-08-13, Dividend: 0.49, Company Ticker: GSK,
  Date: 2020-08-12, Dividend: 0.87, Company Ticker: XOM,
  Date: 2020-08-07, Dividend: 1.63, Company Ticker: IBM,
  Date: 2020-08-06, Dividend: 0.31, Company Ticker: ET,
  Date: 2020-08-06, Dividend: 0.33, Company Ticker: INTC,
  Date: 2020-08-06, Dividend: 1.55, Company Ticker: RIO,
  Date: 2020-08-03, Dividend: 0.98, Company Ticker: VLO,
  Date: 2020-07-31, Dividend: 0.37, Company Ticker: BX,
  Date: 2020-07-31, Dividend: 0.51, Company Ticker: C,
  Date: 2020-07-31, Dividend: 0.26, Company Ticker: KMI,
  Date: 2020-07-31, Dividend: 0.23, Company Ticker: O,
  Date: 2020-07-31, Dividend: 0.94, Company Ticker: OKE,
  Date: 2020-07-30, Dividend: 0.12, Company Ticker: AGNC,
  Date: 2020-07-30, Dividend: 0.45, Company Ticker: EPD,
  Date: 2020-07-30, Dividend: 0.35, Company Ticker: MS,
  Date: 2020-07-30, Dividend: 0.67, Company Ticker: OHI,
  Date: 2020-07-30, Dividend: 0.38, Company Ticker: PFE,
  Date: 2020-07-30, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2020-07-23, Dividend: 0.09, Company Ticker: PBR,
  Date: 2020-07-14, Dividend: 1.18, Company Ticker: ABBV,
  Date: 2020-07-09, Dividend: 1.3, Company Ticker: SPG,
  Date: 2020-07-09, Dividend: 0.52, Company Ticker: T,
  Date: 2020-07-09, Dividend: 0.62, Company Ticker: VZ,
  Date: 2020-07-02, Dividend: 0.9, Company Ticker: JPM,
  Date: 2020-07-01, Dividend: 0.1, Company Ticker: NRZ,
  Date: 2020-06-30, Dividend: 0.23, Company Ticker: O,
  Date: 2020-06-29, Dividend: 0.12, Company Ticker: AGNC,
  Date: 2020-06-29, Dividend: 1.06, Company Ticker: IIPR,
  Date: 2020-06-29, Dividend: 0.22, Company Ticker: NLY,
  Date: 2020-06-29, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2020-06-19, Dividend: 1.17, Company Ticker: PM,
  Date: 2020-06-12, Dividend: 0.11, Company Ticker: DVN,
  Date: 2020-06-12, Dividend: 0.84, Company Ticker: MO,
  Date: 2020-06-12, Dividend: 0.61, Company Ticker: MRK,
  Date: 2020-06-11, Dividend: 0.68, Company Ticker: GILD,
  Date: 2020-06-03, Dividend: 0.25, Company Ticker: NEM,
  Date: 2020-05-29, Dividend: 0.25, Company Ticker: LUMN,
  Date: 2020-05-29, Dividend: 0.23, Company Ticker: O,
  Date: 2020-05-28, Dividend: 0.12, Company Ticker: AGNC,
  Date: 2020-05-28, Dividend: 0.7, Company Ticker: DOW,
  Date: 2020-05-28, Dividend: 0.4, Company Ticker: KHC,
  Date: 2020-05-28, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2020-05-22, Dividend: 1.1, Company Ticker: PRU,
  Date: 2020-05-22, Dividend: 1.01, Company Ticker: UPS,
  Date: 2020-05-21, Dividend: 1.47, Company Ticker: MMM,
  Date: 2020-05-19, Dividend: 0.46, Company Ticker: WBA,
  Date: 2020-05-18, Dividend: 1.29, Company Ticker: CVX,
  Date: 2020-05-15, Dividend: 1.6, Company Ticker: AMGN,
  Date: 2020-05-15, Dividend: 0.64, Company Ticker: SO,
  Date: 2020-05-14, Dividend: 0.95, Company Ticker: DUK,
  Date: 2020-05-14, Dividend: 0.57, Company Ticker: ENB,
  Date: 2020-05-14, Dividend: 0.47, Company Ticker: GSK,
  Date: 2020-05-13, Dividend: 0.98, Company Ticker: VLO,
  Date: 2020-05-12, Dividend: 0.87, Company Ticker: XOM,
  Date: 2020-05-08, Dividend: 0.63, Company Ticker: BP,
  Date: 2020-05-07, Dividend: 1.63, Company Ticker: IBM,
  Date: 2020-05-07, Dividend: 0.38, Company Ticker: PFE,
  Date: 2020-05-06, Dividend: 0.31, Company Ticker: ET,
  Date: 2020-05-06, Dividend: 0.33, Company Ticker: INTC,
  Date: 2020-05-01, Dividend: 0.39, Company Ticker: BX,
  Date: 2020-05-01, Dividend: 0.51, Company Ticker: C,
  Date: 2020-05-01, Dividend: 0.26, Company Ticker: KMI,
  Date: 2020-04-30, Dividend: 0.23, Company Ticker: O,
  Date: 2020-04-29, Dividend: 0.12, Company Ticker: AGNC,
  Date: 2020-04-29, Dividend: 0.45, Company Ticker: EPD,
  Date: 2020-04-29, Dividend: 0.35, Company Ticker: MS,
  Date: 2020-04-29, Dividend: 0.67, Company Ticker: OHI,
  Date: 2020-04-29, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2020-04-24, Dividend: 0.94, Company Ticker: OKE,
  Date: 2020-04-14, Dividend: 1.18, Company Ticker: ABBV,
  Date: 2020-04-14, Dividend: 0.05, Company Ticker: NRZ,
  Date: 2020-04-09, Dividend: 0.62, Company Ticker: VZ,
  Date: 2020-04-08, Dividend: 0.52, Company Ticker: T,
  Date: 2020-04-03, Dividend: 0.9, Company Ticker: JPM,
  Date: 2020-03-31, Dividend: 0.23, Company Ticker: O,
  Date: 2020-03-30, Dividend: 0.16, Company Ticker: AGNC,
  Date: 2020-03-30, Dividend: 1.0, Company Ticker: IIPR,
  Date: 2020-03-30, Dividend: 0.25, Company Ticker: NLY,
  Date: 2020-03-30, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2020-03-24, Dividend: 0.84, Company Ticker: MO,
  Date: 2020-03-20, Dividend: 1.17, Company Ticker: PM,
  Date: 2020-03-13, Dividend: 0.61, Company Ticker: MRK,
  Date: 2020-03-12, Dividend: 0.09, Company Ticker: DVN,
  Date: 2020-03-12, Dividend: 0.68, Company Ticker: GILD,
  Date: 2020-03-12, Dividend: 0.4, Company Ticker: KHC,
  Date: 2020-03-06, Dividend: 0.25, Company Ticker: LUMN,
  Date: 2020-03-06, Dividend: 2.31, Company Ticker: RIO,
  Date: 2020-03-04, Dividend: 0.14, Company Ticker: NEM,
  Date: 2020-02-28, Dividend: 0.23, Company Ticker: O,
  Date: 2020-02-27, Dividend: 0.16, Company Ticker: AGNC,
  Date: 2020-02-27, Dividend: 0.7, Company Ticker: DOW,
  Date: 2020-02-27, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2020-02-24, Dividend: 1.01, Company Ticker: UPS,
  Date: 2020-02-20, Dividend: 0.6, Company Ticker: GSK,
  Date: 2020-02-18, Dividend: 0.46, Company Ticker: WBA,
  Date: 2020-02-14, Dividend: 1.29, Company Ticker: CVX,
  Date: 2020-02-14, Dividend: 1.1, Company Ticker: PRU,
  Date: 2020-02-14, Dividend: 0.62, Company Ticker: SO,
  Date: 2020-02-13, Dividend: 1.6, Company Ticker: AMGN,
  Date: 2020-02-13, Dividend: 0.63, Company Ticker: BP,
  Date: 2020-02-13, Dividend: 0.95, Company Ticker: DUK,
  Date: 2020-02-13, Dividend: 0.61, Company Ticker: ENB,
  Date: 2020-02-13, Dividend: 1.47, Company Ticker: MMM,
  Date: 2020-02-13, Dividend: 2.1, Company Ticker: SPG,
  Date: 2020-02-11, Dividend: 0.98, Company Ticker: VLO,
  Date: 2020-02-10, Dividend: 0.87, Company Ticker: XOM,
  Date: 2020-02-07, Dividend: 0.61, Company Ticker: BX,
  Date: 2020-02-07, Dividend: 1.62, Company Ticker: IBM,
  Date: 2020-02-06, Dividend: 0.31, Company Ticker: ET,
  Date: 2020-02-06, Dividend: 0.33, Company Ticker: INTC,
  Date: 2020-01-31, Dividend: 0.51, Company Ticker: C,
  Date: 2020-01-31, Dividend: 0.25, Company Ticker: KMI,
  Date: 2020-01-31, Dividend: 0.23, Company Ticker: O,
  Date: 2020-01-30, Dividend: 0.16, Company Ticker: AGNC,
  Date: 2020-01-30, Dividend: 0.45, Company Ticker: EPD,
  Date: 2020-01-30, Dividend: 0.35, Company Ticker: MS,
  Date: 2020-01-30, Dividend: 0.67, Company Ticker: OHI,
  Date: 2020-01-30, Dividend: 0.38, Company Ticker: PFE,
  Date: 2020-01-30, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2020-01-24, Dividend: 0.94, Company Ticker: OKE,
  Date: 2020-01-14, Dividend: 1.18, Company Ticker: ABBV,
  Date: 2020-01-09, Dividend: 0.52, Company Ticker: T,
  Date: 2020-01-09, Dividend: 0.62, Company Ticker: VZ,
  Date: 2020-01-03, Dividend: 0.9, Company Ticker: JPM,
  Date: 2019-12-31, Dividend: 0.23, Company Ticker: O,
  Date: 2019-12-31, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2019-12-30, Dividend: 0.16, Company Ticker: AGNC,
  Date: 2019-12-30, Dividend: 1.0, Company Ticker: IIPR,
  Date: 2019-12-30, Dividend: 0.25, Company Ticker: NLY,
  Date: 2019-12-30, Dividend: 0.5, Company Ticker: NRZ,
  Date: 2019-12-27, Dividend: 0.35, Company Ticker: VALE,
  Date: 2019-12-24, Dividend: 0.84, Company Ticker: MO,
  Date: 2019-12-18, Dividend: 1.17, Company Ticker: PM,
  Date: 2019-12-13, Dividend: 0.61, Company Ticker: MRK,
  Date: 2019-12-12, Dividend: 0.09, Company Ticker: DVN,
  Date: 2019-12-12, Dividend: 0.63, Company Ticker: GILD,
  Date: 2019-12-04, Dividend: 0.14, Company Ticker: NEM,
  Date: 2019-11-29, Dividend: 0.25, Company Ticker: LUMN,
  Date: 2019-11-29, Dividend: 0.23, Company Ticker: O,
  Date: 2019-11-27, Dividend: 0.16, Company Ticker: AGNC,
  Date: 2019-11-27, Dividend: 0.7, Company Ticker: DOW,
  Date: 2019-11-27, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2019-11-25, Dividend: 1.0, Company Ticker: PRU,
  Date: 2019-11-21, Dividend: 1.44, Company Ticker: MMM,
  Date: 2019-11-19, Dividend: 0.9, Company Ticker: VLO,
  Date: 2019-11-15, Dividend: 1.19, Company Ticker: CVX,
  Date: 2019-11-15, Dividend: 0.62, Company Ticker: SO,
  Date: 2019-11-15, Dividend: 0.96, Company Ticker: UPS,
  Date: 2019-11-15, Dividend: 0.46, Company Ticker: WBA,
  Date: 2019-11-14, Dividend: 1.45, Company Ticker: AMGN,
  Date: 2019-11-14, Dividend: 0.95, Company Ticker: DUK,
  Date: 2019-11-14, Dividend: 0.56, Company Ticker: ENB,
  Date: 2019-11-14, Dividend: 0.49, Company Ticker: GSK,
  Date: 2019-11-14, Dividend: 0.4, Company Ticker: KHC,
  Date: 2019-11-14, Dividend: 2.1, Company Ticker: SPG,
  Date: 2019-11-12, Dividend: 0.1, Company Ticker: PBR,
  Date: 2019-11-08, Dividend: 0.87, Company Ticker: XOM,
  Date: 2019-11-07, Dividend: 0.62, Company Ticker: BP,
  Date: 2019-11-07, Dividend: 1.62, Company Ticker: IBM,
